ticker,sector
ABNB,Consumer Cyclical
SNOW,Technology
CRWD,Technology
BYND,Consumer Defensive
ZM,Technology
DDOG,Technology
MKDTY,Basic Materials
INDO,Energy
MNPR,Healthcare
SPT,Technology
BILL,Technology
EH,Industrials
XP,Financial Services
LMPX,Consumer Cyclical
PINE,Real Estate
CAN,Technology
SITM,Technology
ETNB,Unknown
KRKR,Communication Services
TELA,Healthcare
CNTG,Unknown
GRTX,Healthcare
DUO,Real Estate
OYST,Unknown
RAPT,Healthcare
CABA,Healthcare
DAO,Consumer Defensive
PAVS,Consumer Defensive
PGNY,Healthcare
PHAT,Healthcare
TFFP,Unknown
BRBR,Consumer Defensive
IPHA,Healthcare
HBT,Financial Services
VIR,Healthcare
BNTX,Healthcare
APRE,Healthcare
KRRO,Healthcare
MCBS,Financial Services
VIE,Unknown
OPRT,Financial Services
PTON,Consumer Cyclical
PING,Unknown
XGN,Healthcare
IGMS,Unknown
ALRS,Financial Services
NET,Technology
STSA,Unknown
SWTX,Unknown
TXG,Healthcare
CFB,Unknown
JFU,Technology
BTOG,Financial Services
INMD,Healthcare
AMTD,Financial Services
DT,Technology
KRUS,Consumer Cyclical
SNDL,Consumer Defensive
BORR,Energy
VIST,Energy
WSG,Unknown
CSTL,Healthcare
HCAT,Healthcare
LVGO,Unknown
NOVA,Unknown
PROS,Unknown
EIC,Financial Services
AFYA,Consumer Defensive
IFS,Financial Services
MDLA,Unknown
AMK,Unknown
FULC,Healthcare
IHRT,Communication Services
MIRM,Healthcare
PHR,Healthcare
DOYU,Communication Services
KRTX,Unknown
REAL,Consumer Cyclical
ADPT,Healthcare
BBIO,Healthcare
CHNG,Unknown
MORF,Unknown
CMBM,Technology
LINX,Unknown
AKRO,Unknown
BCEL,Unknown
GO,Consumer Defensive
PRVL,Unknown
PSNL,Healthcare
WORK,Unknown
STOK,Healthcare
CHWY,Consumer Cyclical
FVRR,Communication Services
RVLV,Consumer Cyclical
GOTU,Consumer Defensive
BCYC,Healthcare
RTLR,Unknown
AVTR,Healthcare
FSLY,Technology
LKNCY,Consumer Cyclical
PSTL,Real Estate
JFIN,Communication Services
SONM,Technology
UBER,Technology
AXLA,Unknown
HHR,Unknown
MEC,Industrials
NXTC,Healthcare
QNCX,Healthcare
SPFI,Financial Services
PSN,Technology
ATIF,Unknown
RRBI,Financial Services
SCPL,Unknown
YJ,Consumer Cyclical
SY,Healthcare
TMDX,Healthcare
WAFU,Consumer Defensive
GNLN,Consumer Defensive
HOOK,Healthcare
MNRL,Unknown
PINS,Communication Services
BWAY,Healthcare
PLMR,Financial Services
TPTX,Unknown
JMIA,Consumer Cyclical
PD,Technology
TUFN,Unknown
NGM,Unknown
SILK,Unknown
TW,Financial Services
