direction,variant,target,model,train_n,test_n,train_pos_rate,test_pos_rate,train_auc,test_auc,auc_drop,test_bal_acc,pred_pos_pct
A_to_B,P1_v2_text_pca,label_1m,logistic_regression,237,188,0.54,0.436,0.8095,0.6343,0.1752,0.5843,44.1
A_to_B,P1_v2_text_pca,label_1m,ridge,237,188,0.54,0.436,0.8064,0.6452,0.1612,0.5954,52.7
A_to_B,P1_v2_text_pca,label_1m,random_forest,237,188,0.54,0.436,0.9989,0.6278,0.3711,0.6272,56.4
A_to_B,P1_v2_text_pca,label_1m,xgboost,237,188,0.54,0.436,1.0,0.5901,0.4099,0.561,55.3
A_to_B,P2_v2_structured,label_1m,logistic_regression,258,259,0.535,0.417,0.7849,0.5646,0.2203,0.5552,51.0
A_to_B,P2_v2_structured,label_1m,ridge,258,259,0.535,0.417,0.8208,0.5697,0.2512,0.536,65.3
A_to_B,P2_v2_structured,label_1m,random_forest,258,259,0.535,0.417,0.9538,0.5097,0.4441,0.497,54.1
A_to_B,P2_v2_structured,label_1m,xgboost,258,259,0.535,0.417,0.9947,0.498,0.4968,0.5116,48.6
A_to_B,P3_v2_combined_pca,label_1m,logistic_regression,237,188,0.54,0.436,0.8859,0.6363,0.2496,0.584,56.4
A_to_B,P3_v2_combined_pca,label_1m,ridge,237,188,0.54,0.436,0.9007,0.6194,0.2813,0.5919,75.0
A_to_B,P3_v2_combined_pca,label_1m,random_forest,237,188,0.54,0.436,0.9999,0.6524,0.3474,0.6536,55.9
A_to_B,P3_v2_combined_pca,label_1m,xgboost,237,188,0.54,0.436,1.0,0.6001,0.3999,0.5376,66.5
B_to_A,P1_v2_text_pca,label_1m,logistic_regression,188,237,0.436,0.54,0.8188,0.5763,0.2425,0.5254,63.3
B_to_A,P1_v2_text_pca,label_1m,ridge,188,237,0.436,0.54,0.8462,0.5791,0.2671,0.5582,59.5
B_to_A,P1_v2_text_pca,label_1m,random_forest,188,237,0.436,0.54,0.9974,0.6163,0.381,0.5711,43.5
B_to_A,P1_v2_text_pca,label_1m,xgboost,188,237,0.436,0.54,1.0,0.558,0.442,0.5551,52.7
B_to_A,P2_v2_structured,label_1m,logistic_regression,259,258,0.417,0.535,0.7986,0.5748,0.2239,0.5542,45.0
B_to_A,P2_v2_structured,label_1m,ridge,259,258,0.417,0.535,0.8284,0.5614,0.267,0.5957,30.2
B_to_A,P2_v2_structured,label_1m,random_forest,259,258,0.417,0.535,0.9475,0.5318,0.4157,0.4958,17.1
B_to_A,P2_v2_structured,label_1m,xgboost,259,258,0.417,0.535,0.9987,0.4992,0.4995,0.4547,20.2
B_to_A,P3_v2_combined_pca,label_1m,logistic_regression,188,237,0.436,0.54,0.9231,0.5998,0.3234,0.5709,48.9
B_to_A,P3_v2_combined_pca,label_1m,ridge,188,237,0.436,0.54,0.9447,0.5842,0.3604,0.5502,43.0
B_to_A,P3_v2_combined_pca,label_1m,random_forest,188,237,0.436,0.54,0.9937,0.6054,0.3882,0.5805,37.1
B_to_A,P3_v2_combined_pca,label_1m,xgboost,188,237,0.436,0.54,1.0,0.5649,0.4351,0.547,41.8
