direction,variant,target,model,train_n,test_n,train_pos_rate,test_pos_rate,train_auc,test_auc,auc_drop,test_bal_acc,pred_pos_pct
A_to_B,P1_v2_text_pca,label_1w,logistic_regression,237,188,0.582,0.447,0.8008,0.5693,0.2316,0.5375,39.9
A_to_B,P1_v2_text_pca,label_1w,ridge,237,188,0.582,0.447,0.8042,0.5677,0.2366,0.5334,51.1
A_to_B,P1_v2_text_pca,label_1w,random_forest,237,188,0.582,0.447,0.999,0.5417,0.4574,0.5188,57.4
A_to_B,P1_v2_text_pca,label_1w,xgboost,237,188,0.582,0.447,1.0,0.4792,0.5208,0.5021,56.9
A_to_B,P2_v2_structured,label_1w,logistic_regression,258,259,0.574,0.39,0.7514,0.5254,0.226,0.53,49.8
A_to_B,P2_v2_structured,label_1w,ridge,258,259,0.574,0.39,0.764,0.5751,0.1889,0.5471,69.5
A_to_B,P2_v2_structured,label_1w,random_forest,258,259,0.574,0.39,0.9541,0.5537,0.4004,0.5044,66.8
A_to_B,P2_v2_structured,label_1w,xgboost,258,259,0.574,0.39,0.992,0.5318,0.4602,0.5086,56.4
A_to_B,P3_v2_combined_pca,label_1w,logistic_regression,237,188,0.582,0.447,0.8756,0.5785,0.2971,0.5339,41.5
A_to_B,P3_v2_combined_pca,label_1w,ridge,237,188,0.582,0.447,0.9001,0.5677,0.3324,0.5966,54.8
A_to_B,P3_v2_combined_pca,label_1w,random_forest,237,188,0.582,0.447,1.0,0.5885,0.4115,0.5856,59.6
A_to_B,P3_v2_combined_pca,label_1w,xgboost,237,188,0.582,0.447,1.0,0.527,0.473,0.514,58.0
B_to_A,P1_v2_text_pca,label_1w,logistic_regression,188,237,0.447,0.582,0.7968,0.5512,0.2457,0.5236,55.3
B_to_A,P1_v2_text_pca,label_1w,ridge,188,237,0.447,0.582,0.8191,0.5217,0.2975,0.5183,45.6
B_to_A,P1_v2_text_pca,label_1w,random_forest,188,237,0.447,0.582,1.0,0.5072,0.4928,0.4676,39.7
B_to_A,P1_v2_text_pca,label_1w,xgboost,188,237,0.447,0.582,1.0,0.4895,0.5105,0.48,45.1
B_to_A,P2_v2_structured,label_1w,logistic_regression,259,258,0.39,0.574,0.7961,0.5836,0.2125,0.5429,26.7
B_to_A,P2_v2_structured,label_1w,ridge,259,258,0.39,0.574,0.815,0.5467,0.2682,0.5376,19.8
B_to_A,P2_v2_structured,label_1w,random_forest,259,258,0.39,0.574,0.9442,0.6179,0.3262,0.5682,17.8
B_to_A,P2_v2_structured,label_1w,xgboost,259,258,0.39,0.574,0.9949,0.536,0.459,0.5176,35.7
B_to_A,P3_v2_combined_pca,label_1w,logistic_regression,188,237,0.447,0.582,0.8945,0.5743,0.3202,0.5223,27.8
B_to_A,P3_v2_combined_pca,label_1w,ridge,188,237,0.447,0.582,0.9451,0.5354,0.4096,0.5176,43.5
B_to_A,P3_v2_combined_pca,label_1w,random_forest,188,237,0.447,0.582,0.996,0.5496,0.4464,0.5099,22.4
B_to_A,P3_v2_combined_pca,label_1w,xgboost,188,237,0.447,0.582,1.0,0.5392,0.4608,0.5413,37.1
