direction,variant,target,model,train_n,test_n,train_pos_rate,test_pos_rate,train_auc,test_auc,auc_drop,test_bal_acc,pred_pos_pct
A_to_B,E1_text_enhanced,label_1y,logistic_regression,237,188,0.443,0.138,0.9969,0.5544,0.4425,0.5164,35.6
A_to_B,E1_text_enhanced,label_1y,ridge,237,188,0.443,0.138,1.0,0.5043,0.4957,0.5487,37.8
A_to_B,E1_text_enhanced,label_1y,random_forest,237,188,0.443,0.138,0.9999,0.5453,0.4545,0.5218,30.9
A_to_B,E1_text_enhanced,label_1y,xgboost,237,188,0.443,0.138,1.0,0.5838,0.4162,0.5995,36.7
A_to_B,E2_structured_enhanced,label_1y,logistic_regression,258,259,0.438,0.166,0.8109,0.5321,0.2788,0.5006,27.8
A_to_B,E2_structured_enhanced,label_1y,ridge,258,259,0.438,0.166,0.8529,0.4813,0.3716,0.4915,36.3
A_to_B,E2_structured_enhanced,label_1y,random_forest,258,259,0.438,0.166,0.967,0.5514,0.4156,0.5754,43.2
A_to_B,E2_structured_enhanced,label_1y,xgboost,258,259,0.438,0.166,0.9999,0.4912,0.5087,0.4894,43.6
A_to_B,E3_combined_enhanced,label_1y,logistic_regression,237,188,0.443,0.138,0.9994,0.5311,0.4683,0.4834,29.8
A_to_B,E3_combined_enhanced,label_1y,ridge,237,188,0.443,0.138,1.0,0.4953,0.5047,0.4378,41.5
A_to_B,E3_combined_enhanced,label_1y,random_forest,237,188,0.443,0.138,0.9999,0.5499,0.4501,0.5603,31.9
A_to_B,E3_combined_enhanced,label_1y,xgboost,237,188,0.443,0.138,1.0,0.5988,0.4012,0.6026,36.2
B_to_A,E1_text_enhanced,label_1y,logistic_regression,188,237,0.138,0.443,1.0,0.4816,0.5184,0.4969,23.2
B_to_A,E1_text_enhanced,label_1y,ridge,188,237,0.138,0.443,1.0,0.5089,0.4911,0.5093,26.6
B_to_A,E1_text_enhanced,label_1y,random_forest,188,237,0.138,0.443,1.0,0.5052,0.4948,0.5,0.0
B_to_A,E1_text_enhanced,label_1y,xgboost,188,237,0.138,0.443,1.0,0.5575,0.4425,0.5039,3.4
B_to_A,E2_structured_enhanced,label_1y,logistic_regression,259,258,0.166,0.438,0.8292,0.578,0.2512,0.5301,36.4
B_to_A,E2_structured_enhanced,label_1y,ridge,259,258,0.166,0.438,0.8568,0.5553,0.3015,0.5137,10.9
B_to_A,E2_structured_enhanced,label_1y,random_forest,259,258,0.166,0.438,0.9875,0.5608,0.4266,0.4975,1.2
B_to_A,E2_structured_enhanced,label_1y,xgboost,259,258,0.166,0.438,0.9998,0.5467,0.4531,0.5152,8.9
B_to_A,E3_combined_enhanced,label_1y,logistic_regression,188,237,0.138,0.443,1.0,0.5165,0.4835,0.4885,30.8
B_to_A,E3_combined_enhanced,label_1y,ridge,188,237,0.138,0.443,1.0,0.4968,0.5032,0.5,33.3
B_to_A,E3_combined_enhanced,label_1y,random_forest,188,237,0.138,0.443,1.0,0.5628,0.4372,0.5,0.0
B_to_A,E3_combined_enhanced,label_1y,xgboost,188,237,0.138,0.443,1.0,0.5783,0.4217,0.5096,4.6
